LAD20CD,LAD20NM,WOODLAND_AREA,AREALHECT,WOODLAND_COVER,Percentage of area
E06000001,Hartlepool,437.448898,9371.25,0.046679888,4.667988774
E06000002,Middlesbrough,291.8551394,5388.16,0.054166012,5.416601204
E06000003,Redcar and Cleveland,2987.872933,24506.98,0.121919263,12.19192627
E06000004,Stockton-on-Tees,1309.292518,20493.31,0.063888777,6.388877729
E06000005,Darlington,799.7404813,19747.58,0.040498151,4.049815123
E06000006,Halton,546.3474996,7908.39,0.069084542,6.908454181
E06000007,Warrington,1427.331663,18062.79,0.079020553,7.902055348
E06000008,Blackburn with Darwen,1337.09531,13702.21,0.097582456,9.758245643
E06000009,Blackpool,59.3838383,3487.09,0.017029626,1.702962594
E06000010,"Kingston upon Hull, City of",127.338651,7158.37,0.017788777,1.778877747
E06000011,East Riding of Yorkshire,9445.903447,240360.43,0.039298912,3.929891225
E06000012,North East Lincolnshire,684.812328,19262.29,0.035551969,3.555196854
E06000013,North Lincolnshire,4352.024792,84652.66,0.051410373,5.141037259
E06000014,York,1330.960374,27193.7,0.048943703,4.89437029
E06000015,Derby,277.9427086,7803.11,0.035619478,3.561947847
E06000016,Leicester,247.0027624,7334.21,0.033678169,3.36781688
E06000017,Rutland,2534.326399,38183.13,0.066372935,6.637293483
E06000018,Nottingham,408.6411997,7461.32,0.05476795,5.476794987
E06000019,"Herefordshire, County of",25479.59879,217970.94,0.116894476,11.68944759
E06000020,Telford and Wrekin,2686.873515,29031.37,0.092550697,9.255069655
E06000021,Stoke-on-Trent,520.9404985,9344.85,0.055746267,5.57462665
E06000022,Bath and North East Somerset,2888.543825,34587.86,0.083513228,8.351322762
E06000023,"Bristol, City of",671.731282,10966.65,0.061252186,6.125218567
E06000024,North Somerset,4024.518356,37374.94,0.107679594,10.76795937
E06000025,South Gloucestershire,3035.731404,49705.08,0.061074872,6.10748721
E06000026,Plymouth,854.2686872,7984.97,0.106984583,10.69845832
E06000027,Torbay,574.0834873,6288.67,0.091288538,9.128853753
E06000030,Swindon,1503.568428,23009.33,0.065346033,6.534603259
E06000031,Peterborough,1909.980639,34337.82,0.055623235,5.562323522
E06000032,Luton,127.8361078,4335.25,0.029487598,2.948759767
E06000033,Southend-on-Sea,103.4997223,4167.42,0.024835443,2.483544312
E06000034,Thurrock,803.6385723,16383.71,0.049051074,4.905107404
E06000035,Medway,1486.95069,19371.42,0.076760025,7.676002531
E06000036,Bracknell Forest,3632.882481,10938.43,0.332121016,33.21210156
E06000037,West Berkshire,11593.74333,70416.94,0.164644237,16.46442366
E06000038,Reading,202.8599744,4039.79,0.050215475,5.021547517
E06000039,Slough,125.7471555,3254.19,0.038641615,3.86416145
E06000040,Windsor and Maidenhead,3095.716537,19650.17,0.157541463,15.75414634
E06000041,Wokingham,2546.288056,17896.55,0.142278152,14.22781517
E06000042,Milton Keynes,2327.753424,30862.67,0.075422944,7.542294377
E06000043,Brighton and Hove,484.5568784,8283.31,0.058497977,5.849797707
E06000044,Portsmouth,79.43232719,4039.44,0.019664193,1.966419286
E06000045,Southampton,373.8459756,4988.08,0.074947871,7.494787084
E06000046,Isle of Wight,5187.652373,37962,0.136653822,13.66538215
E06000047,County Durham,19161.711,222588.59,0.086085774,8.608577378
E06000049,Cheshire East,7564.997118,116635.77,0.064860009,6.486000922
E06000050,Cheshire West and Chester,5733.846328,92001.77,0.062323218,6.232321757
E06000051,Shropshire,29946.02596,319727.58,0.093661066,9.366106596
E06000052,Cornwall,33439.92051,354542.8,0.094318431,9.43184307
E06000053,Isles of Scilly,54.07994634,1631.77,0.033141893,3.314189276
E06000054,Wiltshire,33514.68453,325533.8,0.10295301,10.29530099
E06000055,Bedford,3039.022054,47640.82,0.063790297,6.379029693
E06000056,Central Bedfordshire,6973.100762,71566.57,0.097435168,9.743516787
E06000057,Northumberland,88720.43902,501982.89,0.176739966,17.67399662
E06000058,"Bournemouth, Christchurch and Poole",1868.567601,16207.01,0.11529379,11.52937896
E06000059,Dorset,30309.88169,249095.69,0.121679671,12.16796714
E06000060,Buckinghamshire,19487.63802,156494.91,0.124525699,12.45256988
E07000008,Cambridge,183.1486829,4069.87,0.045001114,4.500111376
E07000009,East Cambridgeshire,1880.922332,65128.6,0.028880128,2.888012843
E07000010,Fenland,290.6778608,54645.02,0.005319384,0.531938429
E07000011,Huntingdonshire,3855.660713,90617.6,0.042548696,4.254869598
E07000012,South Cambridgeshire,4027.146601,90162.5,0.044665427,4.466542743
E07000026,Allerdale,8561.514124,124214.56,0.068925206,6.89252059
E07000027,Barrow-in-Furness,250.7337283,7789.71,0.032187813,3.218781293
E07000028,Carlisle,19477.84017,103830,0.187593568,18.75935681
E07000029,Copeland,7674.699471,73175.97,0.104880051,10.48800511
E07000030,Eden,13267.65471,214237.11,0.061929769,6.19297689
E07000031,South Lakeland,20833.10937,153546.28,0.135679675,13.5679675
E07000032,Amber Valley,2367.98192,26543.79,0.089210392,8.921039232
E07000033,Bolsover,1662.863479,16033.47,0.103712015,10.37120149
E07000034,Chesterfield,538.9082808,6603.52,0.081609245,8.160924488
E07000035,Derbyshire Dales,7537.375408,79242.41,0.095117948,9.511794767
E07000036,Erewash,607.98962,10963.01,0.055458275,5.545827469
E07000037,High Peak,4456.737147,53914.33,0.082663313,8.266331321
E07000038,North East Derbyshire,3010.553287,27562.34,0.109227057,10.92270572
E07000039,South Derbyshire,3172.607004,33812.69,0.093828885,9.382888508
E07000040,East Devon,9457.211157,81424.47,0.11614704,11.61470398
E07000041,Exeter,384.1206897,4703.31,0.08167029,8.167028958
E07000042,Mid Devon,9314.60435,91289.78,0.102033375,10.20333749
E07000043,North Devon,11355.18424,108588.58,0.104570704,10.45707038
E07000044,South Hams,8471.056799,88654.39,0.095551465,9.555146451
E07000045,Teignbridge,13224.27719,67377.08,0.196272637,19.62726374
E07000046,Torridge,13708.56929,98382.89,0.139338957,13.93389571
E07000047,West Devon,12576.11356,115967.34,0.108445305,10.84453051
E07000061,Eastbourne,234.6692032,4416.15,0.053138866,5.313886602
E07000062,Hastings,383.3579707,2979.61,0.128660452,12.86604524
E07000063,Lewes,2896.216719,29210.7,0.099149172,9.914917202
E07000064,Rother,10961.01585,50944.13,0.215157582,21.51575824
E07000065,Wealden,18996.73083,83312.55,0.228017638,22.80176375
E07000066,Basildon,877.5427172,11000.1,0.079775885,7.977588542
E07000067,Braintree,4132.339034,61170.79,0.067554122,6.755412238
E07000068,Brentwood,1690.705736,15312.41,0.110414085,11.04140848
E07000069,Castle Point,492.9559073,4467.35,0.110346381,11.03463815
E07000070,Chelmsford,2426.559792,33875.82,0.071631027,7.163102743
E07000071,Colchester,2703.887302,32822.39,0.082379355,8.237935451
E07000072,Epping Forest,3630.600201,33898.42,0.107102343,10.71023429
E07000073,Harlow,262.1968332,3053.79,0.085859484,8.585948384
E07000074,Maldon,1409.935477,35781.57,0.039403958,3.940395789
E07000075,Rochford,620.0543815,16709.27,0.037108406,3.710840638
E07000076,Tendring,1475.70061,33632.43,0.043877312,4.387731156
E07000077,Uttlesford,3879.249451,64118.29,0.060501449,6.050144898
E07000078,Cheltenham,247.851987,4659.61,0.053191573,5.319157333
E07000079,Cotswold,13280.53112,116452.42,0.114042552,11.40425517
E07000080,Forest of Dean,13648.62674,52590.21,0.2595279,25.95278996
E07000081,Gloucester,169.6101439,4055.3,0.041824315,4.182431483
E07000082,Stroud,5473.49454,46054.2,0.118848977,11.88489766
E07000083,Tewkesbury,3190.641632,41441.44,0.076991573,7.69915725
E07000084,Basingstoke and Deane,10626.93794,63381.73,0.167665634,16.76656339
E07000085,East Hampshire,11198.53613,51443.22,0.217687309,21.7687309
E07000086,Eastleigh,961.591494,7967.88,0.120683481,12.06834809
E07000087,Fareham,650.1225009,7425.68,0.087550568,8.755056788
E07000088,Gosport,165.6037096,2537.36,0.065266147,6.526614655
E07000089,Hart,5948.335015,21526.5,0.276326157,27.63261568
E07000090,Havant,472.2795584,5573.98,0.084729324,8.472932418
E07000091,New Forest,22475.76611,75217.54,0.298810173,29.88101725
E07000092,Rushmoor,805.9033952,3904.5,0.206403738,20.64037381
E07000093,Test Valley,10089.12141,62759.53,0.160758397,16.07583965
E07000094,Winchester,9639.840964,66097.03,0.145843784,14.5843784
E07000095,Broxbourne,740.1782654,5144.22,0.143885422,14.3885422
E07000096,Dacorum,2608.33546,21247.66,0.122758716,12.2758716
E07000098,Hertsmere,901.8671023,10112.82,0.089180575,8.918057498
E07000099,North Hertfordshire,2695.543772,37538.21,0.071808,7.180799969
E07000102,Three Rivers,1326.03749,8882.42,0.149287862,14.92878619
E07000103,Watford,208.3883422,2143.05,0.097239142,9.723914152
E07000105,Ashford,8434.794219,58061.72,0.145272896,14.52728961
E07000106,Canterbury,5699.394142,30875.26,0.184594207,18.45942072
E07000107,Dartford,767.0524115,7272.55,0.105472277,10.54722775
E07000108,Dover,2157.250717,31533.79,0.068410766,6.841076562
E07000109,Gravesham,1424.377265,9899.13,0.143889136,14.38891362
E07000110,Maidstone,4725.402048,39332.94,0.120138542,12.01385416
E07000111,Sevenoaks,7275.877898,36923.07,0.197055063,19.70550634
E07000112,Folkestone and Hythe,2255.44026,35692.1,0.063191582,6.319158188
E07000113,Swale,3006.479819,37343.68,0.080508397,8.050839712
E07000114,Thanet,153.3418442,10360.91,0.014800036,1.480003631
E07000115,Tonbridge and Malling,4527.429702,24011.42,0.188553184,18.85531843
E07000116,Tunbridge Wells,7351.721832,33132.87,0.221886055,22.18860555
E07000117,Burnley,968.4293279,11068.4,0.08749497,8.749497018
E07000118,Chorley,1731.758709,20276.23,0.085408318,8.540831848
E07000119,Fylde,463.7833524,16569.69,0.027989863,2.798986296
E07000120,Hyndburn,626.065991,7299.75,0.085765402,8.576540169
E07000121,Lancaster,4044.219408,56693.59,0.071334685,7.133468542
E07000122,Pendle,686.2113802,16938.01,0.040513105,4.051310515
E07000123,Preston,747.1024148,14228.41,0.052507794,5.250779355
E07000124,Ribble Valley,5577.559148,58318.56,0.095639521,9.563952107
E07000125,Rossendale,908.9186114,13804.12,0.06584401,6.584400972
E07000126,South Ribble,654.5149119,11314.17,0.057849132,5.784913183
E07000127,West Lancashire,1474.656667,34663.31,0.042542292,4.254229231
E07000128,Wyre,1192.262835,28216.49,0.042254116,4.225411575
E07000129,Blaby,395.7291106,13046.86,0.030331368,3.03313679
E07000130,Charnwood,2265.974517,27904.26,0.081205326,8.120532554
E07000131,Harborough,2547.654697,59179.66,0.043049499,4.30494987
E07000132,Hinckley and Bosworth,1839.966035,29735.14,0.061878506,6.187850586
E07000133,Melton,2287.897126,48138.06,0.047527822,4.752782156
E07000134,North West Leicestershire,3491.3089,27932.8,0.124989579,12.49895786
E07000135,Oadby and Wigston,61.93536984,2352.61,0.026326238,2.63262376
E07000136,Boston,195.7236117,36400.87,0.005376894,0.537689379
E07000137,East Lindsey,7016.286369,176677.32,0.039712434,3.971243377
E07000138,Lincoln,243.2215192,3569.02,0.068147984,6.814798437
E07000139,North Kesteven,3651.585089,92247.13,0.03958481,3.958480972
E07000140,South Holland,300.080028,75007.61,0.004000661,0.400066111
E07000141,South Kesteven,5608.35029,94258.6,0.059499614,5.949961372
